"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZC3H15",1.06760118118354e-35,0.381464432021309,0.172,0.278,6.29030615953339e-31,"0","ZC3H15"
"NDUFB9",7.85030680201318e-35,0.340032792162497,0.216,0.343,4.62540076774616e-30,"0","NDUFB9"
"IPO7",2.73484523970058e-34,0.376204075650599,0.16,0.257,1.61137081523158e-29,"0","IPO7"
"CCDC47",6.04316441671956e-34,0.874878472352821,0.323,0.299,3.56063247433117e-29,"0","CCDC47"
"ATP5MC2",7.2213502075149e-34,0.598676929353612,0.499,0.556,4.25481954226778e-29,"0","ATP5MC2"
"PSMD7",7.69773073520581e-33,0.329888823481609,0.193,0.302,4.53550294918326e-28,"0","PSMD7"
"HNRNPF",9.64886733458007e-33,0.273270650839308,0.245,0.38,5.68511263353458e-28,"0","HNRNPF"
"SEC61G",3.79644245897558e-32,0.605161389336725,0.448,0.463,2.23686389682841e-27,"0","SEC61G"
"SEC62",6.37141167064328e-32,0.32252938199141,0.301,0.478,3.75403575634302e-27,"0","SEC62"
"PNISR",1.64872037925932e-31,0.876033598405467,0.387,0.401,9.71426047459592e-27,"0","PNISR"
"FUBP1",8.11260995594415e-31,0.319408493362373,0.217,0.334,4.77994978604229e-26,"0","FUBP1"
"FAM162A",1.21586119650384e-30,0.947280054005349,0.278,0.248,7.16385416980062e-26,"0","FAM162A"
"RRBP1",5.13589249624208e-30,0.279952039781151,0.249,0.379,3.02606785878584e-25,"0","RRBP1"
"PA2G4",8.68696064855176e-28,0.279072009881008,0.242,0.364,5.1183572141267e-23,"0","PA2G4"
"GMPS",2.97686722348251e-27,0.260761652603704,0.167,0.252,1.7539701680759e-22,"0","GMPS"
"PFDN2",2.41593966328825e-26,0.433783461615554,0.181,0.277,1.42347164960944e-21,"0","PFDN2"
"ANP32B",4.35863001768297e-26,0.342578215815827,0.286,0.438,2.56810480641881e-21,"0","ANP32B"
"UBAP2L",7.33180091373064e-26,0.571540192578449,0.315,0.282,4.31989709837009e-21,"0","UBAP2L"
"HSPE1",1.24713374706852e-25,0.833999022319836,0.364,0.374,7.34811203772773e-21,"0","HSPE1"
"UQCC2",1.57380049138769e-25,0.735297372932466,0.27,0.237,9.27283249525625e-21,"0","UQCC2"
"CITED2",1.92086153620446e-25,0.7791258251262,0.337,0.325,1.13177161713167e-20,"0","CITED2"
"PBRM1",1.66765691923117e-24,0.282220881773772,0.193,0.285,9.82583456811006e-20,"0","PBRM1"
"USP34",2.58454383073023e-24,0.386530580598754,0.21,0.315,1.52281322506625e-19,"0","USP34"
"EIF4A2",6.27857571198123e-24,0.422660832073632,0.266,0.408,3.69933680949934e-19,"0","EIF4A2"
"GNAI3",1.05474501620094e-23,0.424993113524551,0.175,0.262,6.21455763545595e-19,"0","GNAI3"
"BTG1",1.42410828167512e-23,0.419450987134428,0.584,0.685,8.39084599562982e-19,"0","BTG1"
"TPR",1.99037215545275e-23,0.326975809483975,0.286,0.429,1.17272727399276e-18,"0","TPR"
"PSMB3",2.07973090577682e-23,0.322713145523808,0.183,0.27,1.2253774496837e-18,"0","PSMB3"
"THOC2",2.36405216619061e-23,0.359015761425053,0.189,0.28,1.39289953631951e-18,"0","THOC2"
"PGK1",2.47700215848799e-22,0.511669528272236,0.231,0.351,1.45944967178112e-17,"0","PGK1"
"ARHGAP5",3.14213833356379e-21,0.329685956309409,0.253,0.371,1.85134790613579e-16,"0","ARHGAP5"
"EIF5B",8.82915946263137e-21,0.411041458133765,0.262,0.387,5.20214075538241e-16,"0","EIF5B"
"UBR5",1.29702397440756e-20,0.295281252313052,0.271,0.394,7.64206525720934e-16,"0","UBR5"
"RTRAF",2.04815802212984e-20,0.933273889707081,0.294,0.29,1.2067747066389e-15,"0","RTRAF"
"RPL7",1.52512670104336e-19,0.290189168104837,0.349,0.532,8.98604652254746e-15,"0","RPL7"
"EIF4G1",1.23088073865271e-18,0.376531653098352,0.269,0.393,7.25234931214179e-14,"0","EIF4G1"
"KIF5B",4.59545134441312e-18,0.357653252986843,0.295,0.431,2.70763993212821e-13,"0","KIF5B"
"TAX1BP1",5.18599163411634e-18,0.341171998113809,0.325,0.484,3.05558627082135e-13,"0","TAX1BP1"
"EIF3I",5.38436989457287e-18,0.416236558797211,0.199,0.286,3.17247074188234e-13,"0","EIF3I"
"DDX3X",5.54348530709878e-18,0.36557554109538,0.264,0.382,3.2662215429426e-13,"0","DDX3X"
"AFF4",1.41448671509236e-17,0.378262888513639,0.271,0.394,8.33415572532418e-13,"0","AFF4"
